Time:,53:10.7,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.022289628,0.002368778,0.039071213,0.004754318,8,4,225,100,0.000193765,
0.022293209,0.003114261,0.039711196,0.005604114,8,4,527,200,0.000151734,
0.022327352,0.003380499,0.040388887,0.007492551,8,4,524,200,0.000145745,
0.022339928,0.002956405,0.038239481,0.006005546,8,4,525,200,0.000148088,
0.022345801,0.003524528,0.039431098,0.011570966,8,4,527,200,0.000151826,
0.022350592,0.002524749,0.036540759,0.004096825,8,4,527,200,0.000151863,
0.022391392,0.002433789,0.038090478,0.012241923,8,4,528,200,0.000152656,
0.022402237,0.003956192,0.038971436,0.003491706,8,4,219,100,0.000201716,
0.022402996,0.002991803,0.036259081,0.003749106,8,4,527,200,0.000151419,
0.022451994,0.002673775,0.037266352,0.005445439,8,4,530,200,0.000154617,
0.022532227,0.002107982,0.043311307,0.009126211,8,4,527,200,0.000151669,
0.022566862,0.001860037,0.037105938,0.007789758,8,4,528,200,0.000152435,
0.022576878,0.003716867,0.039252937,0.006817098,8,4,527,200,0.000152233,
0.022582493,0.002654844,0.039876632,0.007665813,8,4,527,200,0.000152137,
0.022583721,0.00332715,0.042651186,0.012552589,8,2,545,200,0.000161689,
0.02258865,0.002185258,0.037760634,0.007889985,8,4,527,200,0.000152022,
0.022611171,0.002294321,0.036839679,0.003376084,8,4,527,200,0.000151996,
0.02266494,0.00343979,0.042244,0.010699379,8,4,537,200,0.00013553,
0.02267057,0.004006071,0.03952393,0.005263329,8,4,524,200,0.000149245,
0.022739161,0.003610971,0.037001566,0.003429616,8,4,525,200,0.000152676,
0.022739841,0.002499118,0.039472885,0.007123753,8,4,224,100,0.000255244,
0.022872632,0.003885162,0.036904713,0.004390853,8,4,200,100,0.000221526,
0.022961874,0.004176358,0.038985721,0.005844156,8,4,200,100,0.000229631,
0.022966629,0.003800176,0.03887668,0.004673793,8,4,232,100,0.000187842,
0.023127796,0.002805437,0.037884826,0.005497859,8,4,547,200,0.000178464,
0.023178587,0.003873821,0.048850493,0.018479761,6,2,586,400,0.000311447,
0.023289057,0.003379629,0.040224123,0.010771127,8,4,525,200,0.000153092,
0.023367556,0.004037753,0.037527362,0.005256871,8,4,527,200,0.000152497,
