Time:,3:22:29.182472,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate
0.030173243044395975,0.0010347083333277188,0.04367783875204623,0.005427292436183085,8,8,523,500,0.00010996841914936191
0.03165676777245095,0.01255923889733165,0.033136156387627125,0.0028283962360132297,2,2,233,50,0.0013727332831378468
0.025413894946899208,0.004179791162661289,0.042592626763507724,0.011223829095447203,4,10,546,500,0.0002020655315047958
0.034885371161229375,0.0009452655501210055,0.07191898045130074,0.028459094375500055,2,6,100,387,0.00011142858046792396
0.03119724724251611,0.0007249302710060446,0.04443642380647361,0.007256749213683493,2,6,100,50,0.00017972471306536693
0.02320409906553009,0.003733937400799841,0.03511316445656121,0.0025925298615945046,4,6,431,50,0.00011129088884077244
0.030581462621233527,0.002113210248696534,0.0548243741504848,0.02268993302076034,4,2,800,500,0.00011711980624506445
0.0866136916515908,0.09661026414074791,0.23853626241907477,0.24218340451617532,10,4,100,500,0.0001
0.03710872313629697,0.007663894536980039,0.028753594146110117,0.0023795718826843454,10,6,100,50,0.0005970811830818184
0.03179142958080287,0.0011398766651061433,0.08080087602138519,0.048248474878947234,6,2,100,421,0.0005924151926262312
0.023257140361646635,0.005031014640958423,0.03917891229502857,0.0033864641310244192,4,2,100,50,0.0003699581614462184
0.028788815798979985,0.005335721846953278,0.04227117192931473,0.00602324380518925,4,10,100,388,0.0008507183668406461
0.03105506732679167,0.001168029131208437,0.05997998476959765,0.025748805406460948,4,2,222,500,0.000366712990249314
0.031066343048383356,0.0015346691396655918,0.06506615784019232,0.028703050596689518,4,2,224,500,0.0003671892751883546
0.03141088811029889,0.003008023857805703,0.08292870339937508,0.05521926660900473,4,2,224,500,0.00036761741722266173
0.030966561111508265,0.0019543278566643008,0.05306300753727555,0.018439054203842866,4,2,223,500,0.0003683770191098623
0.03026172289475516,0.0028042953629254597,0.05560980853624642,0.024974801942528276,4,2,222,500,0.0003685589322500707
0.03120198536920882,0.0016314230099855628,0.05557880247943103,0.030770637361282153,4,2,222,500,0.00036874447634893497
0.03127555570292267,0.0007162878229682453,0.0817649750970304,0.049750400410012816,4,2,221,500,0.0003689041980331278
0.0314282964610717,0.0014156597404998683,0.05875946534797549,0.024934523138641824,4,2,221,500,0.0003691495405137933
0.030559549521194634,0.0017193562489251503,0.05830520624294877,0.03378466404943133,4,2,220,500,0.00036935186988656786
0.03126957871655968,0.001633405024643137,0.053303609136492014,0.018199632872104497,4,2,219,500,0.0003695786550830728
0.0317880979870625,0.0014184677715611306,0.08314943825826049,0.07717067472985803,4,2,219,500,0.00036979309751666113
0.031400335381147296,0.0012381749310765328,0.04746026708744466,0.008714785620295538,4,2,219,500,0.00036993779196422015
0.03154441731902929,0.0014408110888987763,0.06232400005683303,0.032049558737344795,4,2,219,500,0.0003701833640782006
0.031781166515669895,0.0015964085406030652,0.07039361423812807,0.05608490440348344,4,2,219,500,0.00037036620323764173
0.03138276391222204,0.0017377565739666108,0.057939540361985564,0.023877439177368422,4,2,219,500,0.0003704145547128146
0.03119805074423517,0.0008270581671913831,0.06178065272979438,0.02617434239374044,4,2,219,500,0.0003705841418444183
0.031273396143967555,0.002023893189829026,0.0628867787308991,0.031027976432241335,4,2,218,500,0.0003709854394276571
0.03108082539639019,0.0017366492153871441,0.06301704957149923,0.031109110919094757,4,2,218,500,0.0003710808463551523
0.030758011891376384,0.0028542130238825474,0.05316954874433577,0.019124127800942282,4,2,216,500,0.0003743521566010017
0.03112776119319284,0.0019284499198628097,0.057224870659410954,0.022436382577060945,4,2,217,500,0.00037134195522860034
0.031304228571427305,0.0009659936632610419,0.061644204426556826,0.02332448646647481,4,2,217,500,0.00037155592496525167
0.031951079694908804,0.0008490420554148973,0.06713674985803664,0.03452468108681475,4,2,216,500,0.0003720177137945731
0.03161856587303141,0.0016531394160219364,0.0752573162317276,0.06591929066896401,4,2,216,500,0.0003720008839700508
0.032214960589389725,0.0019462197278883769,0.07685419940389693,0.042128377684811175,4,2,217,500,0.00037214075728350383
0.03153413316965756,0.0014630952204705676,0.05735736829228699,0.020382089623982892,4,2,218,500,0.0003717147781687848
0.031105872372506418,0.0009805106221464673,0.050477081909775734,0.015045659659510512,4,2,218,500,0.0003717143923137446
0.032156816444472026,0.0017697561950240828,0.10476659866981208,0.07547854759343808,4,2,217,500,0.00037229361816763795
0.031514726426251666,0.0006331485436429339,0.06542124366387725,0.041010112067201815,4,2,218,500,0.00037193756342847876
0.031554914179327466,0.002329621959617538,0.05913751176558435,0.021665169552800016,4,2,217,500,0.00037233460470926854
0.031002967394601663,0.0019797541668664896,0.07231767405755818,0.07527666728726444,4,2,217,500,0.0003721844191125532
0.031018656022518718,0.0025253863238379917,0.05958406557328999,0.030918101882967817,4,2,217,500,0.0003724924695897172
0.030944938540073796,0.0021241297109028693,0.06541697098873556,0.05073562740541992,4,2,217,500,0.00037262076894722577
0.0301037982787095,0.0032389070305049485,0.05834430060349405,0.025099878760937097,4,2,216,500,0.0003729392160794797
0.030189161107518223,0.001859446174298985,0.05233401176519692,0.03696117828013827,4,2,216,500,0.00037332708925875914
0.03142314570608366,0.0017976622983403865,0.06499101035296917,0.03910567558146169,4,2,214,500,0.0003743870992504564
0.03203389027972263,0.001269709243564314,0.05550474370829761,0.020626199202444007,4,2,214,500,0.00037442271918981183
0.03119989779547849,0.0014665262472710245,0.06932399794459343,0.030944705735188604,4,2,215,500,0.00037416681216974844
0.031773799181724204,0.001518404265542287,0.08549732971005142,0.08154171842150819,4,2,214,500,0.0003745787139923897
0.0309234319120674,0.0006666173780782329,0.06302054482512176,0.03702518081390338,4,2,215,500,0.0003744041242829007
0.03130580059165293,0.0015575859211356285,0.07893509371206164,0.08054470085078497,4,2,213,500,0.00037549824922992965
0.03127375206710989,0.0007333707352406828,0.06769619998522103,0.03748543107801487,4,2,213,500,0.000375718155632662
0.0314154127882699,0.0008180084829586037,0.09197450731880963,0.08168164973458297,4,2,212,500,0.00037640422982993167
0.030446318392288438,0.001732309589636658,0.05360724241472781,0.020594896217671712,4,2,211,500,0.00037686417121507383
0.030064104325419526,0.002256999792964105,0.05975450645200908,0.05595567279667607,4,2,208,500,0.0003776362825104966
0.0310240356716609,0.0015405627551409525,0.06136687216348946,0.0433050389057845,4,2,199,497,0.0003594928122405258
0.03108280370754145,0.0011266406497209822,0.05731215374544263,0.023762337444081325,4,2,191,480,0.00034325037997397277
0.031153043349789248,0.000708229925545559,0.058698977110907435,0.01802980775009502,4,2,179,456,0.00032861057038911887
0.031984822414774405,0.001660863502520871,0.08089454658329487,0.07730851888575706,4,2,178,439,0.0003190712424921737
0.031046364033421134,0.001816486203363055,0.06201446847990155,0.03140576674645872,4,2,181,457,0.00032613416820820095
0.0317220215224838,0.0025942732309469974,0.11712333606556058,0.10411015567032746,4,2,180,456,0.0003247017200732005
0.03229355820370926,0.002284555755722871,0.0789070944301784,0.08030773977308898,4,2,181,458,0.00032638684768301825
0.031224398165529455,0.0010160464208239474,0.06244045472703874,0.046911041208649515,4,2,182,460,0.00032901481784569094
0.03191806694670819,0.0014299644779657119,0.07913510990329087,0.05434038491181913,4,2,181,459,0.00032777114929175396
0.03181347768756773,0.0013346651493299916,0.08926504896953702,0.09061274955285559,4,2,181,459,0.00032816531564501615
0.031376004537131796,0.0011408971766305735,0.05725264037027955,0.025231078397971087,4,2,181,459,0.00032800877650107966
0.03219620924758666,0.0015853302934036345,0.0739470855332911,0.04469433420068213,4,2,180,459,0.00032784216064672434
0.031453279857201366,0.0021936497613933145,0.08497670316137373,0.09350302095208636,4,2,180,459,0.00032843443488043684
0.031689980022858485,0.0017667376790199947,0.08572702738456428,0.06655673723267592,4,2,180,459,0.0003286631131762499
0.03026784532966039,0.0017595623257410731,0.052605259232223034,0.020996159179808575,4,2,180,460,0.0003287936884375562
