Time:,54:30.1,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.026736193,0.004390607,0.036748153,0.004490809,4,8,246,600,0.000748498,
0.026748825,0.004592646,0.040587116,0.00950522,4,4,501,499,0.000345543,
0.026807064,0.004700536,0.039124985,0.00464123,4,4,251,600,0.000742872,
0.026892344,0.005369531,0.041551404,0.006680139,6,2,132,203,0.000796192,
0.026902357,0.005489259,0.031351312,0.001836459,8,4,245,27,0.000146091,
0.026986766,0.004140419,0.038045953,0.005232076,4,8,256,600,0.000684056,
0.027041612,0.004565014,0.04120562,0.008243432,4,8,267,600,0.000974171,
0.027043294,0.003432324,0.035639261,0.005730426,8,2,220,114,0.000357557,
0.027116886,0.005001015,0.030560305,0.001942394,8,8,291,20,0.0001,
0.027250661,0.005427336,0.041425126,0.007712946,4,8,227,600,0.000647955,
0.027285268,0.00540657,0.045575568,0.012457251,4,8,237,600,0.000627889,
0.027290176,0.0058597,0.03883798,0.003442069,4,4,244,600,0.000753911,
0.027367911,0.005258544,0.040426646,0.008105664,4,8,131,600,0.001297412,
0.027383202,0.005162726,0.0448675,0.011915422,4,4,232,600,0.000800998,
0.027410694,0.004704424,0.04341952,0.010699408,4,8,295,600,0.000482317,
0.027453482,0.004569422,0.040366628,0.007389121,4,8,238,600,0.000774609,
0.027532965,0.004937788,0.043376779,0.009640016,4,4,251,600,0.000749716,
0.027583196,0.002862741,0.039823778,0.001905501,8,8,439,166,0.0001,
0.027586985,0.005491778,0.041151088,0.006126374,4,8,215,600,0.000699832,
0.027617284,0.004681863,0.041483693,0.004764108,4,8,250,600,0.000628417,
0.027645081,0.005769425,0.039302103,0.003672314,4,4,248,600,0.000745093,
0.02767955,0.004977793,0.035863974,0.008351948,4,2,228,600,0.002038833,
0.02782646,0.004235752,0.054133867,0.028789496,8,2,269,230,0.000275921,
0.028058283,0.004167381,0.030309312,0.001439369,8,8,298,20,0.0001,
0.028077864,0.00251232,0.043626048,0.008993822,8,4,100,20,0.0001,
0.028403759,0.003315945,0.033632271,0.0079447,8,2,288,31,0.000154083,
0.028460755,0.004248967,0.046647248,0.009566094,4,6,209,600,0.000715365,
0.028473114,0.004041027,0.040442846,0.002949953,4,4,286,600,0.000456344,
0.028543501,0.004583638,0.055805422,0.039241917,6,2,100,366,0.001094104,
0.028547908,0.005245655,0.043895043,0.00754193,4,8,236,600,0.000670894,
0.028578372,0.004065955,0.043030421,0.004693633,4,8,276,600,0.000463477,
0.02860205,0.005134,0.039796192,0.003058908,4,4,218,600,0.000676129,
0.028790427,0.005010462,0.04545129,0.009022517,4,8,226,600,0.000648544,
0.028792292,0.005246945,0.039366563,0.005349206,4,8,267,600,0.000705241,
0.028889972,0.004533112,0.04140343,0.004398341,4,4,224,600,0.000754465,
0.028962605,0.00372458,0.03014406,0.001281153,8,8,294,20,0.0001,
0.028984097,0.004758343,0.042416416,0.00811363,4,8,287,600,0.000420765,
0.029026056,0.004223359,0.044615808,0.007908281,4,8,330,600,0.000338323,
0.029038164,0.00467599,0.04161504,0.004327194,4,8,263,600,0.000517383,
0.0290618,0.005718563,0.042200545,0.00545102,4,4,228,600,0.000824544,
0.029080596,0.006514383,0.045091274,0.018103269,4,2,218,600,0.002124883,
0.029120555,0.005194645,0.045772359,0.016531903,4,2,220,600,0.002199945,
0.02913652,0.003040035,0.047803711,0.012005487,4,4,669,395,0.000128567,
