Time:,33:21.3,Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch size,Learning rate,,,,,
0.033140626,8,4,25,50,0.002,,,,,
0.03314225,4,4,150,150,0.001,,,,,
0.033151364,10,2,100,200,0.001,,,,,
0.033160463,10,4,10,10,0.001,,,,,
0.033188173,8,4,10,100,0.01,,,,,
0.033188502,4,4,150,50,0.02,,,,,
0.033195019,4,4,10,250,0.04,,,,,
0.033197286,6,2,10,10,0.04,,,,,
0.033228396,4,2,25,250,0.1,,,,,
0.033238456,8,4,400,1,0.0002,,,,,
0.033240632,6,2,10,250,0.1,,,,,
0.033278575,8,2,25,250,0.02,,,,,
0.033283849,10,2,350,200,0.0004,,,,,
0.033295441,8,4,400,300,0.0004,,,,,
0.03330068,6,4,25,50,0.004,,,,,
0.033321514,2,2,350,25,0.1,,,,,
0.033326223,6,2,100,10,0.02,,,,,
0.033336233,8,2,300,150,0.0004,,,,,
0.033339011,8,2,100,250,0.004,,,,,
0.03334033,6,2,25,50,0.04,,,,,
0.0333425,10,2,50,250,0.002,,,,,
0.033343082,6,2,50,50,0.04,,,,,
0.033351388,6,4,50,10,0.001,,,,,
0.033356396,8,2,25,50,0.04,,,,,
0.033374686,4,2,10,150,0.02,,,,,
0.033382579,6,2,25,50,0.02,,,,,
0.033384375,8,4,100,25,0.04,,,,,
0.033387064,8,4,400,50,0.1,,,,,
0.033392797,8,4,10,100,0.04,,,,,
0.033396198,6,2,25,80,0.004,,,,,
0.033420464,8,2,10,250,0.04,,,,,
0.033421679,8,2,10,25,0.1,,,,,
0.033457106,6,2,150,200,0.002,,,,,
0.033460684,6,4,100,250,0.04,,,,,
0.033485193,4,2,200,100,0.0004,,,,,
0.033495183,4,2,300,50,0.01,,,,,
0.033506106,10,2,250,100,0.002,,,,,
0.033511085,10,4,400,1,0.04,,,,,
0.033521834,4,4,200,80,0.01,,,,,
0.033578069,8,4,100,250,0.002,,,,,
0.033578859,4,2,10,50,0.004,,,,,
0.033582938,8,2,300,200,0.02,,,,,
0.033590332,6,4,10,10,0.02,,,,,
0.033609395,4,2,150,25,0.001,,,,,
0.033610185,8,2,25,100,0.01,,,,,
0.033612887,6,4,100,10,0.002,,,,,
0.03363544,4,4,100,50,0.02,,,,,
0.03364089,10,4,25,10,0.0004,,,,,
0.033642425,2,4,300,150,0.0004,,,,,
0.03365411,6,2,25,10,0.004,,,,,
0.033663662,6,2,25,25,0.01,,,,,
0.033668958,4,2,350,250,0.01,,,,,
0.033684524,4,2,200,100,0.02,,,,,
0.033696135,6,4,300,300,0.02,,,,,
0.033702529,10,4,50,250,0.004,,,,,
0.033704512,4,4,100,250,0.004,,,,,
0.033706573,6,2,250,25,0.01,,,,,
0.033723967,8,2,25,25,0.001,,,,,
0.033732369,6,2,10,100,0.01,,,,,
0.033740601,8,2,50,10,0.0004,,,,,
0.033746154,2,4,300,300,0.001,,,,,
0.033749492,10,4,10,100,0.1,,,,,
0.033754301,10,2,50,10,0.001,,,,,
0.033756579,8,4,200,300,0.001,,,,,
0.033758393,10,2,300,250,0.001,,,,,
0.03375867,4,4,150,50,0.004,,,,,
0.033799822,8,4,50,80,0.001,,,,,
0.03380336,6,4,300,50,0.0004,,,,,
0.033819274,10,2,400,100,0.0004,,,,,
0.033830436,10,2,200,80,0.0002,,,,,
0.033881587,8,2,100,10,0.0002,,,,,
0.033885171,8,2,50,50,0.01,,,,,
0.033915208,10,2,10,200,0.01,,,,,
0.033952498,4,4,150,300,0.04,,,,,
